trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0001,89,eval,,,,,,,0.5789473684210527,2.4218609885949838,,,,,,,,,,,,,,,,,,,,,,
trial_0001,89,global,,,,0.271357483148102,-0.011530723969017427,,,,,,,2,0,35,0,0,0.0,0,33,2,27,,0.1325077399380805,13.593553175793344,,,-0.8,1,0.8,1
trial_0001,90,train,,,0.2516055180037275,,,0.0578736257045827,,,0.0,0.0,0.004669976956381319,2,0,36,1,0,0.0,0,33,2,,,,,0.023675459995865823,,,,,
trial_0001,90,eval,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,90,global,,,,0.2667478989741218,-0.006921139795037267,,,,,,,2,0,36,0,0,0.0,0,34,2,27,,0.13746130030959752,13.734170102334982,,,-0.8,1,0.8,1
trial_0002,1,train,,,0.2504132412656953,,,0.011868517951969105,,,0.0,0.0,0.002826578910698489,0,0,0,0,0,,0,0,0,,,,,2.198364128945749,,,,,
trial_0002,1,eval,,,,,,,0.3529411764705882,2.188350060406853,,,,,,,,,,,,,,,,,,,,,,
trial_0002,1,global,,,,,,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12421052631578948,2.196899219312166,,,,,,
trial_0002,2,train,,,0.2503577595270132,,,0.014062304568441607,,,0.0,0.0,0.021402961216996648,0,0,0,0,0,,0,0,0,,,,,2.1681624243531044,,,,,
trial_0002,2,eval,,,,,,,0.11764705882352941,2.177988178589765,,,,,,,,,,,,,,,,,,,,,,
trial_0002,2,global,,,,0.015637860082304538,-0.004744613894940704,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12,2.1961998929475484,,,-0.07407407407407407,3,0.07407407407407407,3
trial_0002,3,train,,,0.25035107663915124,,,0.019248763783068598,,,0.0,0.0,0.021708800027123363,0,0,0,0,0,,0,0,0,,,,,2.090275202521795,,,,,
trial_0002,3,eval,,,,,,,0.058823529411764705,2.143258711870979,,,,,,,,,,,,,,,,,,,,,,
